filename, language, Properties, JavaScript, JSON, Vue, CSS, HTML, Markdown, comment, blank, total
f:\sirweb\src\views\Home.vue, Vue, 0, 0, 0, 407, 0, 0, 0, 32, 1, 440
f:\sirweb\src\views\Joinus.vue, Vue, 0, 0, 0, 661, 0, 0, 0, 26, 1, 688
f:\sirweb\src\views\Newservice.vue, Vue, 0, 0, 0, 233, 0, 0, 0, 10, 1, 244
f:\sirweb\src\views\Plus.vue, Vue, 0, 0, 0, 152, 0, 0, 0, 1, 1, 154
f:\sirweb\src\views\Project.vue, Vue, 0, 0, 0, 178, 0, 0, 0, 7, 1, 186
f:\sirweb\src\views\Projectinfo.vue, Vue, 0, 0, 0, 338, 0, 0, 0, 38, 1, 377
f:\sirweb\src\views\Reseach.vue, Vue, 0, 0, 0, 176, 0, 0, 0, 8, 1, 185
f:\sirweb\src\views\Reseachinfo.vue, Vue, 0, 0, 0, 371, 0, 0, 0, 31, 1, 403
f:\sirweb\src\views\Service.vue, Vue, 0, 0, 0, 1005, 0, 0, 0, 24, 1, 1030
f:\sirweb\src\views\Trends.vue, Vue, 0, 0, 0, 137, 0, 0, 0, 3, 1, 141
f:\sirweb\src\views\Trendsinfo.vue, Vue, 0, 0, 0, 340, 0, 0, 0, 30, 1, 371
f:\sirweb\static\fontjs\fontjs.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 1, 1, 26
f:\sirweb\static\g_style.css, CSS, 0, 0, 0, 0, 185, 0, 0, 12, 0, 197
f:\sirweb\test\e2e\custom-assertions\elementCount.js, JavaScript, 0, 18, 0, 0, 0, 0, 0, 8, 2, 28
f:\sirweb\test\e2e\nightwatch.conf.js, JavaScript, 0, 40, 0, 0, 0, 0, 0, 1, 6, 47
f:\sirweb\test\e2e\runner.js, JavaScript, 0, 33, 0, 0, 0, 0, 0, 8, 8, 49
f:\sirweb\test\e2e\specs\test.js, JavaScript, 0, 12, 0, 0, 0, 0, 0, 5, 3, 20
f:\sirweb\test\unit\jest.conf.js, JavaScript, 0, 27, 0, 0, 0, 0, 0, 3, 1, 31
f:\sirweb\test\unit\setup.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
f:\sirweb\test\unit\specs\HelloWorld.spec.js, JavaScript, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
Total, -, 8, 935, 15711, 13010, 185, 15, 20, 877, 200, 30961
